Country,CountryCode,2015,2016,2017,2018,2019,2020,2021,2022
New Zealand,NZL,38630.72659,40058.19616,42910.97284,43236.88669,42796.43058,41760.59478,49996.42067,48418.59166
Nicaragua,NIC,2025.321432,2079.451027,2127.282818,1981.858367,1905.638328,1876.607378,2064.929246,2255.425995
Niger,NER,481.1113011,497.0361208,514.543398,568.5996597,549.8161278,564.8416623,590.6294948,585.4049292
Nigeria,NGA,2679.554223,2144.780344,1941.879479,2125.834491,2334.023643,2074.613747,2065.77441,2162.633734
North Macedonia,MKD,4861.55616,5149.586764,5450.497069,6108.73917,6070.388054,5965.450232,6778.562878,6591.471314
Norway,NOR,74809.9658,70867.361,76131.8384,82792.84271,76430.58895,68340.0181,93072.89251,108729.1869
Oman,OMN,18777.43306,17082.2062,17802.57512,19887.57431,19132.15227,16707.62301,19509.46646,25056.79486
Pakistan,PAK,1421.835278,1468.822082,1567.640612,1620.742591,1437.165833,1322.314785,1506.108293,1588.879829
Panama,PAN,13669.55944,14382.23238,15185.97248,16156.07429,16472.83175,13293.3332,15491.2898,17357.62863
Papua New Guinea,PNG,2502.073445,2332.675888,2495.140773,2584.327802,2593.775554,2446.084687,2624.60411,3115.922923
Paraguay,PRY,5861.401895,5759.042198,6136.058301,6242.961454,5807.838794,5353.348065,5959.441794,6153.055657
Peru,PER,6180.119268,6163.860425,6676.308793,6912.103988,6955.880824,6063.626923,6635.464148,7125.829931
Philippines,PHL,2974.296917,3038.152037,3077.434419,3194.672701,3413.849044,3224.422811,3460.539382,3498.509806
Poland,POL,12560.05142,12378.81176,13815.49995,15504.50894,15700.01358,15816.8204,18050.27944,18688.00449
Portugal,PRT,19250.10654,19991.97249,21490.42986,23562.55452,23330.81729,22242.40642,24661.16649,24515.26585
Puerto Rico,PRI,29763.4883,30627.1634,31108.75275,31615.06679,32916.8668,31427.42911,32601.56564,35208.63719
Qatar,QAT,66984.9102,58467.23557,59407.69805,66264.08117,62827.39695,52315.66008,66858.74172,87661.45015
Romania,ROU,8976.954489,9404.381259,10727.97086,12494.42358,12957.99911,13047.45666,14946.62497,15786.80174
Russian Federation,RUS,9313.021484,8704.894531,10720.33203,11287.35449,11536.25879,10194.44141,12532.05078,15270.70605
Rwanda,RWA,733.8874728,728.8696189,756.5476411,768.9436612,806.1008203,773.7732609,821.1713948,966.2320714
Samoa,WSM,4048.467113,4105.810905,4261.640343,4189.052191,4308.300729,4042.722752,3857.689742,3745.560367
Sao Tome and Principe,STP,1292.733055,1428.257908,1547.82271,1815.605495,1924.40815,2155.265868,2350.452701,2386.696176
Saudi Arabia,SAU,20442.36606,19930.40754,20910.48296,24175.58331,23405.7061,20398.06099,24315.61855,30447.88371
Senegal,SEN,1238.1264,1290.749971,1385.199214,1484.22707,1462.678353,1492.475903,1633.560119,1598.726433
Serbia,SRB,5588.979444,5765.203352,6292.546549,7252.403668,7417.206608,7733.803469,9232.961606,9537.682867
Seychelles,SYC,14894.48578,15409.80463,15961.24363,16411.92112,16851.11976,12020.02106,12963.05898,13250.45583
Sierra Leone,SLE,581.2934118,515.4478396,484.4561288,519.6499639,506.6069138,493.4322406,504.6212876,475.7957278
Singapore,SGP,55645.60686,56895.65831,61164.89736,66836.522,66070.48681,61273.99166,77710.08924,82807.62906
Sint Maarten (Dutch part),SXM,36519.99259,35703.09995,33351.70655,30791.06108,33836.77335,29223.06962,31711.61199,35873.05649
Slovakia,SVK,16390.88217,16563.4405,17585.197,19486.39368,19381.89055,19552.09111,21768.14867,21256.80843
Slovenia,SVN,20890.16643,21678.35947,23514.02546,26123.74713,26042.44635,25558.42905,29331.0647,28439.3341
Solomon Islands,SLB,2134.805418,2196.283891,2283.579051,2450.482888,2398.77305,2222.462119,2232.536954,2205.251805
Somalia,SOM,507.4829155,517.0975815,555.1851236,537.1592902,589.4658919,556.578066,576.5236782,592.103122
South Africa,ZAF,6204.929901,5735.066787,6734.475153,7067.724165,6702.526617,5753.066494,7073.612754,6766.481254
Spain,ESP,25754.36103,26537.15949,28185.32137,30379.72111,29581.51855,26984.29628,30488.82095,29674.54429
Sri Lanka,LKA,3990.353117,4107.829775,4388.201906,4360.584735,4082.694049,3852.389091,3996.571995,3354.383408
St. Kitts and Nevis,KNA,20025.65235,21079.52097,22148.51243,22533.88205,23204.97056,18553.65714,18035.38614,20262.26714
St. Lucia,LCA,10290.37157,10574.38658,11270.47471,11563.83043,11773.42748,8951.524766,10916.22708,13030.92848
St. Vincent and the Grenadines,VCT,7386.746638,7684.79284,7996.636984,8399.707731,8680.251102,8306.360493,8360.064239,9125.324771
Sudan,SDN,1355.126099,1082.616577,1014.842468,769.8691406,748.0109253,608.3325195,749.7067871,1102.146484
Suriname,SUR,8907.837258,5705.399487,6112.883014,6730.836961,6690.044786,4796.533314,5026.879493,5858.824661
Sweden,SWE,51545.48361,51965.15715,53791.50873,54589.06039,51939.42974,52837.90398,61417.68088,56424.2847
Switzerland,CHE,83806.4476,82153.07454,82254.37693,85217.36915,84121.93103,85897.78433,93446.43445,93259.90572
Tajikistan,TJK,970.3625997,801.39384,844.3652498,850.6669582,889.0233718,852.3302296,916.6919671,1054.189484
Tanzania,TZA,929.7998047,942.8890381,975.9046631,1011.600159,1050.931763,1104.164429,1146.031982,1192.766479
Thailand,THA,5708.794091,5854.463908,6436.78966,7124.55881,7628.576033,7001.78546,7060.897707,6909.956285
Timor-Leste,TLS,1322.929094,1349.546777,1285.523976,1241.164485,1583.078603,1663.559629,2741.95082,2389.295875
Togo,TGO,770.1433793,792.4405509,813.3950065,873.5548872,848.3045346,886.6995115,976.6661831,942.6499016
Trinidad and Tobago,TTO,18508.7705,16139.10526,16258.74893,16328.12689,15642.40672,13705.90023,16056.30204,19629.46534
Tunisia,TUN,3960.924849,3796.1096,3569.718839,3577.175342,3477.836181,3497.719027,3807.184109,3747.419391
Turkiye,TUR,11049.99511,10970.04589,10695.5502,9568.83619,9215.440875,8638.739133,9743.213131,10674.50417
Turkmenistan,TKM,6208.296655,6163.253406,6354.53283,6721.34954,7344.880204,7330.366288,7885.299896,8792.548504
Turks and Caicos Islands,TCA,25783.2941,26995.03216,25659.19586,26831.97146,27795.14856,20882.26127,23158.6379,24917.59581
Tuvalu,TUV,3384.383201,3836.073003,4181.436586,4419.259998,4940.050983,4674.911403,5372.760239,5221.532799
Uganda,UGA,864.1800593,753.6844055,766.177604,793.1280822,823.0247329,846.8811992,883.4657281,964.3958695
Ukraine,UKR,2124.662598,2187.727539,2638.325439,3096.5625,3661.457764,3751.737305,4827.845703,4533.975586
United Arab Emirates,ARE,41525.1389,41054.53957,43063.96748,46722.26872,45376.17084,37629.17417,44332.34005,53707.98008
United Kingdom,GBR,44964.39114,40985.23514,40572.12148,43203.81411,42662.53537,40217.00901,46869.75906,46125.25575
United States,USA,56762.72945,57866.74493,59907.75426,62823.30944,65120.39466,63528.6343,70219.47245,76329.58227
Uruguay,URY,16950.75317,16837.94038,18995.39702,19026.04982,18098.36155,15650.4993,17923.99533,20795.04235
Uzbekistan,UZB,2753.971058,2704.677189,1916.764625,1604.258642,1795.201768,1759.307471,1993.424478,2255.151155
Vanuatu,VUT,2643.886886,2757.203306,3032.19703,3076.835315,3076.589886,2917.756849,3044.57364,3231.3513
Viet Nam,VNM,2595.234844,2760.717101,2992.071532,3267.225069,3491.09141,3586.347176,3756.488901,4163.514299
West Bank and Gaza,PSE,3272.154324,3527.613824,3620.360487,3562.330943,3656.858271,3233.568638,3678.635657,3789.327966
Yemen,YEM,1488.416269,1069.816998,893.7164937,701.7148686,693.816504,578.5120105,543.6375376,650.2722184
Zambia,ZMB,1307.909649,1249.923143,1495.752138,1475.199883,1268.120941,956.831729,1134.713454,1456.90157
Zimbabwe,ZWE,1410.329173,1421.787791,1192.107012,2269.177012,1421.868596,1372.696674,1773.920411,1676.821489
Arab States,ARB,6205.500065,5972.565951,6022.02405,6579.417105,6504.789633,5644.14257,6419.161029,7625.252464
East Asia and the Pacific,EAS,9586.061906,9856.581539,10454.52433,11312.90436,11484.41727,11487.31134,13138.72467,12930.69168
Europe and Central Asia,ECS,22588.58857,22411.24208,23688.05766,25276.81944,24892.39355,24021.79603,27420.81343,27536.81293
Latin America and the Caribbean,LCN,8723.135457,8421.148077,9255.805976,8977.992553,8772.562194,7393.174719,8478.633406,9559.213456
South Asia,SAS,1539.470601,1675.438752,1887.890561,1920.140055,1965.094236,1853.845901,2136.192891,2287.416124
Sub-Saharan Africa,SSF,1654.129816,1468.749147,1527.974545,1630.055972,1631.312141,1490.349666,1635.217341,1701.245382
World,WLD,10163.61524,10207.50358,10743.21417,11297.4524,11338.15032,10904.14761,12316.10246,12687.74189
